0,1,2,3,4
In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints
"Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date"
13.0,SN2016X,IIP,'2016-01-20 13:55:12.000,
13.0,SN2015bp,Ia-91bg,'2015-03-16 11:45:36.000,
13.0,SN2016fej,Ia,'2016-08-22 04:11:25.000,
12.0,SN2008Q,Ia,'2008-01-26,
12.0,SN2006bp,IIP,'2006-04-09,2006 April 9
12.0,Gaia16apd,SLSN-I,,
12.0,SN2014G,IIL,'2014-01-14,
12.0,ASASSN-14lw,Ia,,
12.0,SN2012hr,Ia,'2012-12-16,
11.0,SN2019yvq, Ia,'2019-12-28 17:47:43.000,
11.0,ASASSN-15so,Ia,,
11.0,SN2016blc,Ia,'2016-03-30 04:04:48.000,
11.0,SN2011ia,Ia,'2011-11-18,
11.0,PTF11iqb,IIn,,
11.0,SN2012V,Ia,'2012-01-25,
11.0,SN2012ca,IIn-IaCSM?,'2012-04-25,
10.0,SN2014cx,II,'2014-09-02,
10.0,ASASSN-14ha,II,,
10.0,SN2008es,SLSN-II,'2008-04-26,54590
10.0,ASASSN-15rq,Ia,,
10.0,iPTF14atg,Ia,,
10.0,SN2015F,Ia,'2015-03-09,
10.0,SN2006dd,Ia,'2006-06-19,
10.0,SN2015J,IIn,'2015-04-27,
10.0,LSQ12gdj,Ia-SC,,
10.0,SN2007od,II,'2007-11-02,245 4403 pm 1.5
10.0,SN2006jd,IIb/IIn,'2006-10-12,2006October 06.5 UT 
10.0,SN2020uxz, Ia,'2020-10-05 13:45:30.000,
10.0,SN2016gxp,Ia-pec,'2016-10-05 07:36:46.000,
10.0,SN2017fzw,Ia-91bg,'2017-08-09 21:25:55.000,
9.0,SN2005cs,II,'2005-06-28,JD = 2453549 ± 1
9.0,SN2007cv,Ia,'2007-06-29,
9.0,SN2007uy,Ib ,'2007-12-31,
