name,type,redshift,modulus
SN2009ay,II,0.022182,34.82744574435918
SN2009bb,Ic,0.009877,33.07052955479016
SN2009bw,II,0.003853,31.02624743898448
SN2009cz,Ia,0.021138,34.725153389391394
SN2009dc,Ia-SC,0.021391,34.74864371742985
SN2009dd,II,0.002524,30.108816915344025
SN2009gf,Ia,0.018523,34.43597588520649
SN2009gj,IIb,0.005277,31.709369913651948
SN2009hd,II,0.002425,30.021009572138844
SN2009ig,Ia,0.00877,32.503
SN2009ip,imp-IIn,0.005944,31.967876016347937
SN2009iz,Ib,0.014196,33.85834561427862
SN2009jb,Ia,0.03,
SN2009jf,Ib,0.007942,32.59713449486806
SN2009jh,SLSN-I,0.349,
SN2009jh,SLSN-I,0.349,
SN2009jr,Ia,0.016548,34.19118365302458
SN2009kr,IIn/L?,0.006468,32.15122656323719
SN2009ll,IIP,0.044537,36.34106913619961
SN2009lm,IIP,0.01908,34.50031766180878
SN2009mg,IIb,0.007562,32.49059511847624
SN2009mi,Ic,0.010377,33.17783757338717
SN2009mk,IIb,0.005043,31.6110964736696
SN2009N,IIP,0.003449,30.790136294889727
SN2009Y,Ia,0.009353,32.952227564316765
SN2010ae,Ia-p,0.003662,30.916349218414023
SN2010ah,SNIc-BL,0.0498,
SN2010ah,Ic,0.0498,
SN2010al,IIn,0.0172,34.26942013944911
SN2010bj,IIP,0.007589,32.49824452280932
SN2010br,Ibc,0.002336,29.93882771791494
SN2010bt,IIn,0.016151,34.13846144337223
SN2010bv,Ia,0.008659,32.78486095848532
SN2010C,LBV,0.026758,35.234750806071794
SN2010cn,Ib,0.026,
SN2010cr,Ia,0.02157,34.76685182257924
SN2010da,LBV,0.00048,26.505149978319903
SN2010dn,LBV,0.001975,29.57494605145825
SN2010dv,?,0.009924,33.0807723681665
SN2010el,Ia-p,0.005017,31.599576699121776
SN2010ev,Ia,0.009211,32.918669551039976
SN2010F,II,0.00931,32.94213670028681
SN2010fy,Ia,0.049,
SN2010gn,Ia,0.0365,35.55435085855791
SN2010gp,Ia,0.02448,35.0415219563418
SN2010gs,II,0.027135,35.26512530420804
SN2010gx,SLSN-I,0.2297,
SN2010gx,SLSN-I,0.2297,
SN2010hh,Ia,0.019006,34.491949742360944
SN2010hq,IIP,0.007348,32.42841000359749
SN2010id,SNII,0.016475,34.1815326486514
SN2010id,II,0.016475,34.1815326486514
SN2010ih,Ia,0.007288,32.41059472437586
SN2010jl,SNIIn,0.010697,33.24383231748586
SN2010jl,IIn,0.010697,33.24383231748586
SN2010jn,Ia,0.025047,35.091248039483084
SN2010jp,IIn,0.009143,32.90288269554115
SN2010jr,IIb,0.012445,33.5724637630478
SN2010kd,SLSN-I,0.1,
SN2010kg,Ia,0.016642,34.20340503753957
SN2010ko,Ia,0.010441,33.1910592055759
SN2010mb,SNIc-BL,0.1325,
SN2010mb,Ic-PI?,0.1325,
SN2010md,SLSN-I,0.0987,
SN2010O,Ib,0.010411,33.18480636117032
SN2010S,Ic,0.17,
SN2010U,LBV,0.00097,28.0328024627732
SN2010X,?,0.015014,33.97988258253605
SN2010Y,Ia,0.01086,33.27675949892947
SN2011aa,Ia,0.012355,33.55669240789314
SN2011am,Ib,0.006635,32.206511433465835
SN2011ao,Ia,0.010706,33.24586267986802
SN2011at,Ia,0.006758,32.24653472296497
SN2011ay,Ia-99aa?02cx?,0.021,34.7086611145987
SN2011B,Ia,0.00467,31.44397769623485
SN2011bl,Ib/c,0.018426,34.42460586737663
SN2011by,Ia,0.002843,31.588
SN2011cb,IIb,0.007892,32.583411219303215
SN2011cj,IIP,0.007419,32.44901143239375
SN2011de,Ia,0.029187,35.42337778295522
SN2011dh,IIb,0.002,29.041242472933423
SN2011dm,Ia,0.00494,31.5661128104497
SN2011dn,Ia-91T,0.025272,35.110537347819744
SN2011ef,IIb,0.013373,33.72851779909627
SN2011eh,Ia-91bg,0.006785,32.27316581968549
SN2011ei,IIb,0.009313,32.94291458759928
SN2011ek,Ia-91bg,0.005027,31.60390377941681
SN2011fe,Ia,0.000804,29.139
SN2011fi,II,0.010441,33.1910592055759
SN2011fs,Ia,0.020914,34.69967522199724
SN2011gu,Ia,0.019033,34.49499635444894
SN2011hb,Ia,0.028924,35.403683448960585
SN2011hg,IIb,0.023636,34.965343257829446
SN2011hj,IIP,0.019,34.49118742098766
SN2011hs,IIb,0.00571,31.88085631954933
SN2011ht,IIn,0.003646,30.90643832759217
SN2011hw,Ibn,0.023,
SN2011ia,Ia,0.019,34.34819543625804
SN2011im,Ia,0.016228,34.14875174086551
SN2011it,Ic,0.015894,34.10365204271538
SN2011iv,Ia,0.006494,31.45
SN2011iw,IIn,0.023,
SN2011iy,Ia,0.004266,31.247690240236928
SN2011ja,IIP,0.001878,29.465879492100388
SN2011js,IIn,0.013803,33.79728994949224
SN2011ke,SLSN-I,0.1428,
SN2011M,Ia,0.017432,34.304184544800194
SN2012A,II,0.002512,30.09731239884716
SN2012ak,II,0.041565,36.19110199794066
SN2012ap,Ic,0.012115,33.514066717088895
SN2012au,Ib,0.004483,31.35533386143269
SN2012aw,IIP,0.002595,30.1
SN2012bl,Ia,0.018706,34.45737754263667
SN2012ca,IIn-IaCSM?,0.01946,34.543169641772224
SN2012cc,II-87K,-0.00087,30.65
SN2012cg,Ia-99aa,0.001458,31.08
SN2012ck,II,0.042,
SN2012cp,Ia,0.016531,34.188994006363785
SN2012cu,Ia,0.003469,30.79850421433756
SN2012cw,Ic,0.004486,31.35694893953579
SN2012da,Ia,0.018012,34.3753063169585
SN2012dh,IIb,0.009355,32.339889376398965
SN2012dn,Ia-SC,0.010187,33.13768268144567
SN2012fh,Ib/c,0.0001935,29.530477485658345
SN2012fr,Ia,0.005457,31.306
SN2012G,Ia,0.026635,35.22471212021617
SN2012hj,Ia,0.024597,35.051853184194144
SN2012hr,Ia,0.007562,32.49059511847624
SN2012hs,II,0.006424,32.13661893178624
SN2012ht,Ia,0.003559,31.91
SN2012ij,Ia-91bg,0.010998,33.303932253559424
SN2012K,II,0.0203,34.56206985374092
SN2012p,SNIIb,0.004533,31.37943480150613
SN2012P,Ibc,0.004533,31.37943480150613
SN2012T,Ia,0.026315,35.198447298145474
SN2012V,Ia,0.010964,33.29733603825178
SN2012Z,Ia-02cx,0.007125,32.55
SN2013aa,Ia,0.003999,31.1074334333379
SN2013ab,IIP,0.004574,31.393768004764144
SN2013ag,Ia,0.02129,34.74050195850435
